St. Lucie County|Florida|291028
Santa Rosa County|Florida|163422
Sarasota County|Florida|396962
Seminole County|Florida|442516
Sumter County|Florida|114350
Suwannee County|Florida|44022
Taylor County|Florida|22582
Union County|Florida|15190
Volusia County|Florida|507531
Wakulla County|Florida|31432
Walton County|Florida|61530
Washington County|Florida|24451
Appling County|Georgia|18540
Atkinson County|Georgia|8223
Bacon County|Georgia|11281
Baker County|Georgia|3255
Baldwin County|Georgia|45909
Banks County|Georgia|18295
Barrow County|Georgia|73240
Bartow County|Georgia|101736
Ben Hill County|Georgia|17464
Berrien County|Georgia|18700
Bibb County|Georgia|153905
Bleckley County|Georgia|12795
Brantley County|Georgia|18417
Brooks County|Georgia|15418
Bryan County|Georgia|33906
Bulloch County|Georgia|72087
Burke County|Georgia|22709
Butts County|Georgia|23368
Calhoun County|Georgia|6463
Camden County|Georgia|52027
Candler County|Georgia|10888
Carroll County|Georgia|114093
Catoosa County|Georgia|65621
Charlton County|Georgia|12897
Chatham County|Georgia|283379
Chattahoochee County|Georgia|11837
Chattooga County|Georgia|24939
Cherokee County|Georgia|230985
Clarke County|Georgia|120938
Clay County|Georgia|3102
Clayton County|Georgia|267542
Clinch County|Georgia|6831
Cobb County|Georgia|730981
Coffee County|Georgia|42811
Colquitt County|Georgia|46102
Columbia County|Georgia|139257
Cook County|Georgia|17214
Coweta County|Georgia|135571
Crawford County|Georgia|12387
Crisp County|Georgia|22934
Dade County|Georgia|16389
Dawson County|Georgia|22957
Decatur County|Georgia|27220
DeKalb County|Georgia|722161
Dodge County|Georgia|20976
Dooly County|Georgia|14188
Dougherty County|Georgia|92407
Douglas County|Georgia|138776
Early County|Georgia|10491
Echols County|Georgia|4003
Effingham County|Georgia|55423
Elbert County|Georgia|19438
Emanuel County|Georgia|22755
Evans County|Georgia|10898
Fannin County|Georgia|23753
Fayette County|Georgia|109664
Floyd County|Georgia|96063
Forsyth County|Georgia|204302
Franklin County|Georgia|22264
Fulton County|Georgia|996319
Gilmer County|Georgia|28829
Glascock County|Georgia|3053
Glynn County|Georgia|82175
Gordon County|Georgia|56047
Grady County|Georgia|25359
Greene County|Georgia|16490
Gwinnett County|Georgia|877922
Habersham County|Georgia|43752
Hall County|Georgia|190761
Hancock County|Georgia|8509
Haralson County|Georgia|28641
Harris County|Georgia|32876
Hart County|Georgia|25377
Heard County|Georgia|11603
Henry County|Georgia|213869
Houston County|Georgia|149111
Irwin County|Georgia|9104
Jackson County|Georgia|61870
Jasper County|Georgia|13432
Jeff Davis County|Georgia|14859
Jefferson County|Georgia|16272
Jenkins County|Georgia|9125
Johnson County|Georgia|9701
Jones County|Georgia|28787
Lamar County|Georgia|18207
Lanier County|Georgia|10373
Laurens County|Georgia|47851
Lee County|Georgia|29191
Liberty County|Georgia|65198
Lincoln County|Georgia|7622
Long County|Georgia|17113
Lowndes County|Georgia|113523
Lumpkin County|Georgia|31176
McDuffie County|Georgia|21370
McIntosh County|Georgia|14214
Macon County|Georgia|13792
Madison County|Georgia|28312
Marion County|Georgia|8797
Meriwether County|Georgia|21198
Miller County|Georgia|5958
Mitchell County|Georgia|22771
Monroe County|Georgia|27051
Montgomery County|Georgia|8991
Morgan County|Georgia|17956
Murray County|Georgia|39410
Muscogee County|Georgia|200887
Newton County|Georgia|103675
Oconee County|Georgia|35093
Oglethorpe County|Georgia|14673
Paulding County|Georgia|148987
Peach County|Georgia|26922
Pickens County|Georgia|29997
Pierce County|Georgia|18991
Pike County|Georgia|17784
Polk County|Georgia|41133
Pulaski County|Georgia|11483
Putnam County|Georgia|21192
Quitman County|Georgia|2315
Rabun County|Georgia|16243
Randolph County|Georgia|7313
Richmond County|Georgia|201368
Rockdale County|Georgia|87754
Schley County|Georgia|5163
Screven County|Georgia|14085
Seminole County|Georgia|8686
Spalding County|Georgia|63988
Stephens County|Georgia|25480
Stewart County|Georgia|5744
Sumter County|Georgia|31232
Talbot County|Georgia|6390
Taliaferro County|Georgia|1693
Tattnall County|Georgia|25224
Taylor County|Georgia|8442
Telfair County|Georgia|16518
Terrell County|Georgia|9132
Thomas County|Georgia|44959
Tift County|Georgia|40704
Toombs County|Georgia|27282
Towns County|Georgia|11098
Treutlen County|Georgia|6778
Troup County|Georgia|69469
Turner County|Georgia|8153
Twiggs County|Georgia|8320
Union County|Georgia|21984
Upson County|Georgia|26256
Walker County|Georgia|68218
Walton County|Georgia|87615
Ware County|Georgia|35515
Warren County|Georgia|5520
Washington County|Georgia|20635
Wayne County|Georgia|29949
Webster County|Georgia|2649
Wheeler County|Georgia|7995
White County|Georgia|27970
Whitfield County|Georgia|103542
Wilcox County|Georgia|8847
Wilkes County|Georgia|9940
Wilkinson County|Georgia|9326
Worth County|Georgia|20940
Hawaii County|Hawaii|194190
Honolulu County|Hawaii|991788
Kalawao County|Hawaii|89
Kauai County|Hawaii|70475
Maui County|Hawaii|163019
Ada County|Idaho|426236
Adams County|Idaho|3861
Bannock County|Idaho|83347
Bear Lake County|Idaho|5957
Benewah County|Idaho|9118
Bingham County|Idaho|45269
Blaine County|Idaho|21482
Boise County|Idaho|6824
Bonner County|Idaho|41585
Bonneville County|Idaho|108623
Boundary County|Idaho|10979
Butte County|Idaho|2622
Camas County|Idaho|1039
Canyon County|Idaho|203143
Caribou County|Idaho|6837
Cassia County|Idaho|23540
Clark County|Idaho|867
Clearwater County|Idaho|8562
Custer County|Idaho|4140
Elmore County|Idaho|26094
Franklin County|Idaho|13021
Fremont County|Idaho|12867
Gem County|Idaho|16866
Gooding County|Idaho|15064
Idaho County|Idaho|16215
Jefferson County|Idaho|27021
Jerome County|Idaho|22818
Kootenai County|Idaho|147326
Latah County|Idaho|38411
Lemhi County|Idaho|7726
Lewis County|Idaho|3838
Lincoln County|Idaho|5316
Madison County|Idaho|38038
Minidoka County|Idaho|20323
Nez Perce County|Idaho|40007
Oneida County|Idaho|4184
Owyhee County|Idaho|11353
Payette County|Idaho|22836
Power County|Idaho|7617
Shoshone County|Idaho|12390
Teton County|Idaho|10341
Twin Falls County|Idaho|80914
Valley County|Idaho|9826
Washington County|Idaho|10021
Adams County|Illinois|66988
Alexander County|Illinois|7492
Bond County|Illinois|17269
Boone County|Illinois|53869
Brown County|Illinois|6832
Bureau County|Illinois|33840
Calhoun County|Illinois|4956
Carroll County|Illinois|14715
Cass County|Illinois|13156
Champaign County|Illinois|207133
Christian County|Illinois|33892
Clark County|Illinois|16180
Clay County|Illinois|13520
Clinton County|Illinois|37857
Coles County|Illinois|53320
Cook County|Illinois|5246456
Crawford County|Illinois|19393
Cumberland County|Illinois|10833
DeKalb County|Illinois|105462
De Witt County|Illinois|16284
Douglas County|Illinois|19889
DuPage County|Illinois|932708
Edgar County|Illinois|17841
Edwards County|Illinois|6617
Effingham County|Illinois|34320
Fayette County|Illinois|21870
Ford County|Illinois|13688
Franklin County|Illinois|39411
Fulton County|Illinois|36007
Gallatin County|Illinois|5291
