SINGLETON,584,51797
MATHIS,585,51796
BRADFORD,586,51726
BOONE,587,51679
ABBOTT,588,51620
CHARLES,589,51518
ALLISON,590,51504
SWEENEY,591,51500
ATKINSON,592,51489
HORN,593,51380
JEFFERSON,594,51361
ROSALES,595,51336
YORK,596,51334
CHRISTIAN,597,51177
PHELPS,598,51154
FARRELL,599,51095
CASTANEDA,600,51089
NASH,601,51021
DICKERSON,602,51017
BOND,603,50980
WYATT,604,50874
FOLEY,605,50852
CHASE,606,50777
GATES,607,50748
VINCENT,608,50628
MATHEWS,609,50608
HODGE,610,50577
GARRISON,611,50482
TREVINO,612,50454
VILLARREAL,613,50351
HEATH,614,50307
DALTON,615,50166
VALENCIA,616,50026
CALLAHAN,617,49925
HENSLEY,618,49858
ATKINS,619,49754
HUFFMAN,620,49737
ROY,621,49725
BOYER,622,49601
SHIELDS,623,49556
LIN,624,49360
HANCOCK,625,49330
GRIMES,626,49245
GLENN,627,49241
CLINE,628,49167
DELACRUZ,629,49158
CAMACHO,630,49000
DILLON,631,48833
PARRISH,632,48823
ONEILL,633,48656
MELTON,634,48594
BOOTH,635,48580
KANE,636,48527
BERG,637,48480
HARRELL,638,48471
PITTS,639,48462
SAVAGE,640,48367
WIGGINS,641,48355
BRENNAN,642,48296
SALAS,643,48282
MARKS,644,48281
RUSSO,645,48126
SAWYER,646,47979
BAXTER,647,47857
GOLDEN,648,47839
HUTCHINSON,649,47809
LIU,650,47665
WALTER,651,47615
MCDOWELL,652,47526
WILEY,653,47503
RICH,654,47477
HUMPHREY,655,47470
JOHNS,656,47289
KOCH,657,47286
SUAREZ,658,47235
HOBBS,659,47220
BEARD,660,47128
GILMORE,661,47050
IBARRA,662,46895
KEITH,663,46747
MACIAS,664,46739
KHAN,665,46713
ANDRADE,666,46702
WARE,667,46682
STEPHENSON,668,46662
HENSON,669,46609
WILKERSON,670,46605
DYER,671,46574
MCCLURE,672,46505
BLACKWELL,673,46495
MERCADO,674,46437
TANNER,675,46412
EATON,676,46403
CLAY,677,46264
BARRON,678,46196
BEASLEY,679,46179
ONEAL,680,46161
PRESTON,681,45850
SMALL,681,45850
WU,683,45815
ZAMORA,684,45806
MACDONALD,685,45782
VANCE,686,45763
SNOW,687,45689
MCCLAIN,688,45560
STAFFORD,689,45349
OROZCO,690,45289
BARRY,691,45044
ENGLISH,692,45032
SHANNON,693,44902
KLINE,694,44900
JACOBSON,695,44874
WOODARD,696,44830
HUANG,697,44715
KEMP,698,44701
MOSLEY,699,44698
PRINCE,700,44640
MERRITT,701,44626
HURST,702,44587
VILLANUEVA,703,44570
ROACH,704,44454
NOLAN,705,44421
LAM,706,44385
YODER,707,44245
MCCULLOUGH,708,44123
LESTER,709,43919
SANTANA,710,43875
VALENZUELA,711,43770
WINTERS,712,43762
BARRERA,713,43720
LEACH,714,43666
ORR,714,43666
BERGER,716,43556
MCKEE,717,43555
STRONG,718,43430
CONWAY,719,43395
STEIN,720,43331
WHITEHEAD,721,43310
BULLOCK,722,43021
ESCOBAR,723,42955
KNOX,724,42937
MEADOWS,725,42884
SOLOMON,726,42839
VELEZ,727,42820
ODONNELL,728,42802
KERR,729,42758
STOUT,730,42669
BLANKENSHIP,731,42663
BROWNING,732,42642
KENT,733,42597
LOZANO,734,42567
BARTLETT,735,42512
PRUITT,736,42463
BUCK,737,42441
BARR,738,42432
GAINES,739,42369
DURHAM,740,42365
GENTRY,741,42357
MCINTYRE,742,42335
SLOAN,743,42281
MELENDEZ,744,42139
ROCHA,744,42139
HERMAN,746,42091
SEXTON,747,42080
MOON,748,42062
HENDRICKS,749,41879
RANGEL,750,41868
STARK,751,41863
LOWERY,752,41670
HARDIN,753,41664
HULL,754,41656
SELLERS,755,41561
ELLISON,756,41459
CALHOUN,757,41452
GILLESPIE,758,41393
MORA,759,41348
KNAPP,760,41267
MCCALL,761,41231
MORSE,762,41112
DORSEY,763,41104
WEEKS,764,41053
NIELSEN,765,41007
LIVINGSTON,766,40964
LEBLANC,767,40923
MCLEAN,768,40871
BRADSHAW,769,40794
GLASS,770,40724
MIDDLETON,771,40708
BUCKLEY,772,40706
SCHAEFER,773,40663
FROST,774,40582
HOWE,775,40555
HOUSE,776,40477
MCINTOSH,777,40453
HO,778,40413
PENNINGTON,779,40339
REILLY,780,40310
HEBERT,781,40283
MCFARLAND,782,40244
HICKMAN,783,40224
NOBLE,784,40217
SPEARS,785,40203
CONRAD,786,40102
ARIAS,787,40086
GALVAN,788,40046
VELAZQUEZ,789,40030
HUYNH,790,40011
FREDERICK,791,39909
RANDOLPH,792,39742
CANTU,793,39601
FITZPATRICK,794,39501
MAHONEY,795,39440
PECK,796,39432
VILLA,797,39402
MICHAEL,798,39369
