"Adams County, Colorado","480,718"
"Alamosa County, Colorado","16,177"
"Arapahoe County, Colorado","618,821"
"Archuleta County, Colorado","12,244"
"Baca County, Colorado","3,645"
"Bent County, Colorado","5,630"
"Boulder County, Colorado","313,333"
"Broomfield County, Colorado","62,138"
"Chaffee County, Colorado","18,363"
"Cheyenne County, Colorado","1,871"
"Clear Creek County, Colorado","9,187"
"Conejos County, Colorado","8,265"
"Costilla County, Colorado","3,568"
"Crowley County, Colorado","5,360"
"Custer County, Colorado","4,361"
"Delta County, Colorado","29,870"
"Denver County, Colorado","663,862"
"Dolores County, Colorado","1,978"
"Douglas County, Colorado","314,638"
"Eagle County, Colorado","52,921"
"Elbert County, Colorado","24,195"
"El Paso County, Colorado","663,519"
"Fremont County, Colorado","46,502"
"Garfield County, Colorado","57,461"
"Gilpin County, Colorado","5,851"
"Grand County, Colorado","14,546"
"Gunnison County, Colorado","15,725"
"Hinsdale County, Colorado",786
"Huerfano County, Colorado","6,462"
"Jackson County, Colorado","1,396"
"Jefferson County, Colorado","558,503"
"Kiowa County, Colorado","1,402"
"Kit Carson County, Colorado","8,072"
"Lake County, Colorado","7,357"
"La Plata County, Colorado","53,989"
"Larimer County, Colorado","324,122"
"Las Animas County, Colorado","14,052"
"Lincoln County, Colorado","5,510"
"Logan County, Colorado","22,524"
"Mesa County, Colorado","148,255"
"Mineral County, Colorado",698
"Moffat County, Colorado","12,928"
"Montezuma County, Colorado","25,772"
"Montrose County, Colorado","40,873"
"Morgan County, Colorado","28,328"
"Otero County, Colorado","18,488"
"Ouray County, Colorado","4,629"
"Park County, Colorado","16,345"
"Phillips County, Colorado","4,363"
"Pitkin County, Colorado","17,626"
"Prowers County, Colorado","12,034"
"Pueblo County, Colorado","161,875"
"Rio Blanco County, Colorado","6,707"
"Rio Grande County, Colorado","11,607"
"Routt County, Colorado","23,865"
"Saguache County, Colorado","6,196"
"San Juan County, Colorado",720
"San Miguel County, Colorado","7,840"
"Sedgwick County, Colorado","2,348"
"Summit County, Colorado","29,404"
"Teller County, Colorado","23,389"
"Washington County, Colorado","4,780"
"Weld County, Colorado","277,670"
"Yuma County, Colorado","10,202"
"Fairfield County, Connecticut","945,438"
"Hartford County, Connecticut","897,985"
"Litchfield County, Connecticut","184,993"
"Middlesex County, Connecticut","164,943"
"New Haven County, Connecticut","861,277"
"New London County, Connecticut","273,676"
"Tolland County, Connecticut","151,367"
"Windham County, Connecticut","116,998"
"Kent County, Delaware","171,987"
"New Castle County, Delaware","552,778"
"Sussex County, Delaware","210,849"
"District of Columbia, District of Columbia","658,893"
"Alachua County, Florida","256,380"
"Baker County, Florida","27,093"
"Bay County, Florida","178,985"
"Bradford County, Florida","26,702"
"Brevard County, Florida","556,885"
"Broward County, Florida","1,869,235"
"Calhoun County, Florida","14,532"
"Charlotte County, Florida","168,474"
"Citrus County, Florida","139,377"
"Clay County, Florida","199,798"
"Collier County, Florida","348,777"
"Columbia County, Florida","67,857"
"DeSoto County, Florida","35,012"
"Dixie County, Florida","15,907"
"Duval County, Florida","897,698"
"Escambia County, Florida","310,659"
"Flagler County, Florida","102,408"
"Franklin County, Florida","11,815"
"Gadsden County, Florida","46,281"
"Gilchrist County, Florida","16,997"
"Glades County, Florida","13,635"
"Gulf County, Florida","15,944"
"Hamilton County, Florida","14,048"
"Hardee County, Florida","27,469"
"Hendry County, Florida","38,505"
"Hernando County, Florida","175,855"
"Highlands County, Florida","98,236"
"Hillsborough County, Florida","1,316,298"
"Holmes County, Florida","19,650"
"Indian River County, Florida","144,755"
"Jackson County, Florida","48,801"
"Jefferson County, Florida","14,050"
"Lafayette County, Florida","8,835"
"Lake County, Florida","315,690"
"Lee County, Florida","679,513"
"Leon County, Florida","283,988"
"Levy County, Florida","39,613"
"Liberty County, Florida","8,360"
"Madison County, Florida","18,518"
"Manatee County, Florida","351,746"
"Marion County, Florida","339,167"
"Martin County, Florida","153,392"
"Miami-Dade County, Florida","2,662,874"
"Monroe County, Florida","77,136"
"Nassau County, Florida","76,619"
"Okaloosa County, Florida","196,512"
"Okeechobee County, Florida","39,149"
"Orange County, Florida","1,253,001"
"Osceola County, Florida","310,211"
"Palm Beach County, Florida","1,397,710"
"Pasco County, Florida","485,331"
"Pinellas County, Florida","938,098"
"Polk County, Florida","634,638"
"Putnam County, Florida","72,143"
"St. Johns County, Florida","217,919"
"St. Lucie County, Florida","291,028"
"Santa Rosa County, Florida","163,422"
"Sarasota County, Florida","396,962"
"Seminole County, Florida","442,516"
"Sumter County, Florida","114,350"
"Suwannee County, Florida","44,022"
"Taylor County, Florida","22,582"
"Union County, Florida","15,190"
"Volusia County, Florida","507,531"
"Wakulla County, Florida","31,432"
"Walton County, Florida","61,530"
"Washington County, Florida","24,451"
"Appling County, Georgia","18,540"
"Atkinson County, Georgia","8,223"
"Bacon County, Georgia","11,281"
"Baker County, Georgia","3,255"
"Baldwin County, Georgia","45,909"
"Banks County, Georgia","18,295"
"Barrow County, Georgia","73,240"
"Bartow County, Georgia","101,736"
"Ben Hill County, Georgia","17,464"
"Berrien County, Georgia","18,700"
"Bibb County, Georgia","153,905"
"Bleckley County, Georgia","12,795"
"Brantley County, Georgia","18,417"
"Brooks County, Georgia","15,418"
"Bryan County, Georgia","33,906"
"Bulloch County, Georgia","72,087"
"Burke County, Georgia","22,709"
"Butts County, Georgia","23,368"
"Calhoun County, Georgia","6,463"
"Camden County, Georgia","52,027"
"Candler County, Georgia","10,888"
"Carroll County, Georgia","114,093"
"Catoosa County, Georgia","65,621"
"Charlton County, Georgia","12,897"
"Chatham County, Georgia","283,379"
"Chattahoochee County, Georgia","11,837"
"Chattooga County, Georgia","24,939"
"Cherokee County, Georgia","230,985"
"Clarke County, Georgia","120,938"
"Clay County, Georgia","3,102"
"Clayton County, Georgia","267,542"
"Clinch County, Georgia","6,831"
"Cobb County, Georgia","730,981"
"Coffee County, Georgia","42,811"
"Colquitt County, Georgia","46,102"
"Columbia County, Georgia","139,257"
"Cook County, Georgia","17,214"
"Coweta County, Georgia","135,571"
"Crawford County, Georgia","12,387"
"Crisp County, Georgia","22,934"
"Dade County, Georgia","16,389"
"Dawson County, Georgia","22,957"
"Decatur County, Georgia","27,220"
"DeKalb County, Georgia","722,161"
"Dodge County, Georgia","20,976"
"Dooly County, Georgia","14,188"
"Dougherty County, Georgia","92,407"
"Douglas County, Georgia","138,776"
"Early County, Georgia","10,491"
"Echols County, Georgia","4,003"
"Effingham County, Georgia","55,423"
"Elbert County, Georgia","19,438"
"Emanuel County, Georgia","22,755"
"Evans County, Georgia","10,898"
"Fannin County, Georgia","23,753"
"Fayette County, Georgia","109,664"
"Floyd County, Georgia","96,063"
"Forsyth County, Georgia","204,302"
"Franklin County, Georgia","22,264"
"Fulton County, Georgia","996,319"
"Gilmer County, Georgia","28,829"
"Glascock County, Georgia","3,053"
"Glynn County, Georgia","82,175"
"Gordon County, Georgia","56,047"
"Grady County, Georgia","25,359"
"Greene County, Georgia","16,490"
"Gwinnett County, Georgia","877,922"
"Habersham County, Georgia","43,752"
"Hall County, Georgia","190,761"
"Hancock County, Georgia","8,509"
"Haralson County, Georgia","28,641"
"Harris County, Georgia","32,876"
"Hart County, Georgia","25,377"
"Heard County, Georgia","11,603"
"Henry County, Georgia","213,869"
"Houston County, Georgia","149,111"
"Irwin County, Georgia","9,104"
"Jackson County, Georgia","61,870"
"Jasper County, Georgia","13,432"
"Jeff Davis County, Georgia","14,859"
"Jefferson County, Georgia","16,272"
"Jenkins County, Georgia","9,125"
"Johnson County, Georgia","9,701"
"Jones County, Georgia","28,787"
"Lamar County, Georgia","18,207"
"Lanier County, Georgia","10,373"
"Laurens County, Georgia","47,851"
"Lee County, Georgia","29,191"
"Liberty County, Georgia","65,198"
"Lincoln County, Georgia","7,622"
"Long County, Georgia","17,113"
"Lowndes County, Georgia","113,523"
"Lumpkin County, Georgia","31,176"
"McDuffie County, Georgia","21,370"
"McIntosh County, Georgia","14,214"
"Macon County, Georgia","13,792"
"Madison County, Georgia","28,312"
"Marion County, Georgia","8,797"
"Meriwether County, Georgia","21,198"
"Miller County, Georgia","5,958"
"Mitchell County, Georgia","22,771"
"Monroe County, Georgia","27,051"
"Montgomery County, Georgia","8,991"
"Morgan County, Georgia","17,956"
"Murray County, Georgia","39,410"
"Muscogee County, Georgia","200,887"
"Newton County, Georgia","103,675"
"Oconee County, Georgia","35,093"
"Oglethorpe County, Georgia","14,673"
"Paulding County, Georgia","148,987"
"Peach County, Georgia","26,922"
"Pickens County, Georgia","29,997"
"Pierce County, Georgia","18,991"
"Pike County, Georgia","17,784"
"Polk County, Georgia","41,133"
"Pulaski County, Georgia","11,483"
"Putnam County, Georgia","21,192"
"Quitman County, Georgia","2,315"
"Rabun County, Georgia","16,243"
"Randolph County, Georgia","7,313"
"Richmond County, Georgia","201,368"
"Rockdale County, Georgia","87,754"
"Schley County, Georgia","5,163"
"Screven County, Georgia","14,085"
"Seminole County, Georgia","8,686"
"Spalding County, Georgia","63,988"
"Stephens County, Georgia","25,480"
"Stewart County, Georgia","5,744"
"Sumter County, Georgia","31,232"
"Talbot County, Georgia","6,390"
"Taliaferro County, Georgia","1,693"
"Tattnall County, Georgia","25,224"
"Taylor County, Georgia","8,442"
"Telfair County, Georgia","16,518"
"Terrell County, Georgia","9,132"
"Thomas County, Georgia","44,959"
"Tift County, Georgia","40,704"
"Toombs County, Georgia","27,282"
"Towns County, Georgia","11,098"
"Treutlen County, Georgia","6,778"
"Troup County, Georgia","69,469"
"Turner County, Georgia","8,153"
"Twiggs County, Georgia","8,320"
"Union County, Georgia","21,984"
"Upson County, Georgia","26,256"
"Walker County, Georgia","68,218"
"Walton County, Georgia","87,615"
"Ware County, Georgia","35,515"
"Warren County, Georgia","5,520"
"Washington County, Georgia","20,635"
"Wayne County, Georgia","29,949"
"Webster County, Georgia","2,649"
"Wheeler County, Georgia","7,995"
"White County, Georgia","27,970"
"Whitfield County, Georgia","103,542"
"Wilcox County, Georgia","8,847"
"Wilkes County, Georgia","9,940"
"Wilkinson County, Georgia","9,326"
"Worth County, Georgia","20,940"
"Hawaii County, Hawaii","194,190"
"Honolulu County, Hawaii","991,788"
"Kalawao County, Hawaii",89
"Kauai County, Hawaii","70,475"
"Maui County, Hawaii","163,019"
"Ada County, Idaho","426,236"
"Adams County, Idaho","3,861"
"Bannock County, Idaho","83,347"
"Bear Lake County, Idaho","5,957"
"Benewah County, Idaho","9,118"
"Bingham County, Idaho","45,269"
"Blaine County, Idaho","21,482"
"Boise County, Idaho","6,824"
"Bonner County, Idaho","41,585"
"Bonneville County, Idaho","108,623"
"Boundary County, Idaho","10,979"
"Butte County, Idaho","2,622"
"Camas County, Idaho","1,039"
"Canyon County, Idaho","203,143"
"Caribou County, Idaho","6,837"
"Cassia County, Idaho","23,540"
"Clark County, Idaho",867
"Clearwater County, Idaho","8,562"
"Custer County, Idaho","4,140"
"Elmore County, Idaho","26,094"
"Franklin County, Idaho","13,021"
"Fremont County, Idaho","12,867"
"Gem County, Idaho","16,866"
"Gooding County, Idaho","15,064"
"Idaho County, Idaho","16,215"
"Jefferson County, Idaho","27,021"
"Jerome County, Idaho","22,818"
"Kootenai County, Idaho","147,326"
"Latah County, Idaho","38,411"
"Lemhi County, Idaho","7,726"
"Lewis County, Idaho","3,838"
"Lincoln County, Idaho","5,316"
"Madison County, Idaho","38,038"
"Minidoka County, Idaho","20,323"
"Nez Perce County, Idaho","40,007"
"Oneida County, Idaho","4,184"
"Owyhee County, Idaho","11,353"
"Payette County, Idaho","22,836"
"Power County, Idaho","7,617"
"Shoshone County, Idaho","12,390"
"Teton County, Idaho","10,341"
"Twin Falls County, Idaho","80,914"
"Valley County, Idaho","9,826"
"Washington County, Idaho","10,021"
"Adams County, Illinois","66,988"
"Alexander County, Illinois","7,492"
"Bond County, Illinois","17,269"
"Boone County, Illinois","53,869"
"Brown County, Illinois","6,832"
"Bureau County, Illinois","33,840"
"Calhoun County, Illinois","4,956"
"Carroll County, Illinois","14,715"
"Cass County, Illinois","13,156"
"Champaign County, Illinois","207,133"
"Christian County, Illinois","33,892"
"Clark County, Illinois","16,180"
"Clay County, Illinois","13,520"
"Clinton County, Illinois","37,857"
"Coles County, Illinois","53,320"
"Cook County, Illinois","5,246,456"
"Crawford County, Illinois","19,393"
"Cumberland County, Illinois","10,833"
"DeKalb County, Illinois","105,462"
"De Witt County, Illinois","16,284"
"Douglas County, Illinois","19,889"
"DuPage County, Illinois","932,708"
"Edgar County, Illinois","17,841"
"Edwards County, Illinois","6,617"
"Effingham County, Illinois","34,320"
"Fayette County, Illinois","21,870"
"Ford County, Illinois","13,688"
"Franklin County, Illinois","39,411"
"Fulton County, Illinois","36,007"
"Gallatin County, Illinois","5,291"
"Greene County, Illinois","13,434"
"Grundy County, Illinois","50,425"
"Hamilton County, Illinois","8,296"
"Hancock County, Illinois","18,564"
"Hardin County, Illinois","4,129"
